Brand,ModelId,Price,ProductURL,Description
National Tree Company,HC7-104-24W,49.98,https://www.lowes.com/pd/National-Tree-Company-0-5-ft-24-in-Pre-lit-Battery-operated-Harvest-Artificial-Wreath/5004300127,0.5-ft 24-in Pre-lit Battery-operated Harvest Artificial Wreath
Worth Imports,7370,29.98,https://www.lowes.com/pd/Worth-Imports-18-in-Fall-Berry-Wreath-W-Foliage/5000119949,1.5-ft 18-in Berries Artificial Wreath
Glitzhome,2019500005,35.19,https://www.lowes.com/pd/Glitzhome-24-in-D-Fall-Lighted-Maple-Leaves-Wreath/5005470873,24-in Pre-lit Battery-operated Leaves Artificial Wreath
Nearly Natural,4648,87.45,https://www.lowes.com/pd/Nearly-Natural-28-in-Russet-Gold-Indoor-Leaf-Artificial-Thanksgiving-Wreath/1000792934,2.3-ft 28-in Pumpkin Artificial Wreath
Glitzhome,2005500067,40.46,https://www.lowes.com/pd/Glitzhome-18-5-in-D-Fall-Fabric-Plaid-Wreath/5005471241,18.5 in. Fall Fabric Plaid Wreath - Country Rustic Look - Perfect for Fireplace or Door - Holiday Gift - Multiple Colors/Finishes
National Tree Company,RAHV-G060669A,37.35,https://www.lowes.com/pd/National-Tree-Company-6-ft-Pumpkin-Artificial-Garland/5004299999,6-ft Pumpkin Artificial Garland
Nearly Natural,W1224,48.71,https://www.lowes.com/pd/Nearly-Natural-2-2-ft-26-in-Harvest-Artificial-Wreath/5013823361,2.2-ft 26-in Harvest Artificial Wreath
Northlight,35762377,62.98,https://www.lowes.com/pd/Northlight-0-58-ft-24-in-Harvest-Artificial-Wreath/5015205579,0.58-ft 24-in Harvest Artificial Wreath
Nearly Natural,W1186,67.19,https://www.lowes.com/pd/Nearly-Natural-2-3-ft-28-in-Harvest-Artificial-Wreath/5013548227,2.3-ft 28-in Harvest Artificial Wreath
Worth Imports,7726,18.97,https://www.lowes.com/pd/Worth-Imports-26-in-Fall-Twig-Teardrop-with-Long-Grasses-Berries-Pumpkins-and-Leaves/5000269109,2.2-ft Gourd Artificial Swag
Worth Imports,5309,25.69,https://www.lowes.com/pd/Worth-Imports-14-in-Acorn-and-Leaf-Wreath/5000032071,1.1-ft 14-in Berries Artificial Wreath
Gerson International,2492690EC,45.0,https://www.lowes.com/pd/Gerson-International-Liven-up-your-front-door-with-this-22-D-Harvest-Wreath-featuring-fall-leaves-berries-and-orange-sunflower-accents/5012906989,1.83-ft 22-in Harvest Artificial Wreath
Northlight,35762345,62.98,https://www.lowes.com/pd/Northlight-0-5-ft-26-in-Harvest-Artificial-Wreath/5015205675,0.5-ft 26-in Harvest Artificial Wreath
Worth Imports,7377,21.23,https://www.lowes.com/pd/Worth-Imports-22-in-Sunflower-Leaf-and-Pumpkin-Teardrop/5000119951,1.9-ft Leaves Artificial Swag
National Tree Company,RAHV-1006SK4019,45.0,https://www.lowes.com/pd/National-Tree-Company-14-in-Harvest-Lantern-with-Sunflower-Mixed-Leaves-Berry-and-Pumpkins-1-Warm-White-Battery-Operated-LED-Candle/5014645853,1.17-ft Battery-operated Harvest Artificial Swag
Nearly Natural,W1242,54.93,https://www.lowes.com/pd/Nearly-Natural-5-ft-Pumpkin-Artificial-Garland/5013823289,5-ft Pumpkin Artificial Garland
Nearly Natural,W1238,65.63,https://www.lowes.com/pd/Nearly-Natural-2-ft-24-in-Leaves-Artificial-Wreath/5013823403,2-ft 24-in Leaves Artificial Wreath
Worth Imports,9934,43.63,https://www.lowes.com/pd/Worth-Imports-21-in-Fall-Berries-And-Leaves-Wreath/5013805357,21 in. Orange Berry Fall Wreath - Artificial Twig Base - Bright Fall Colors - Indoor Use - Berries and Leaves Detail
Northlight,35762344,85.98,https://www.lowes.com/pd/Northlight-0-5-ft-26-in-Harvest-Artificial-Wreath/5015205597,0.5-ft 26-in Harvest Artificial Wreath
Worth Imports,9984,79.48,https://www.lowes.com/pd/Worth-Imports-2-5-ft-30-in-Berries-Artificial-Wreath/5015355061,2.5-ft 30-in Berries Artificial Wreath
Worth Imports,7771,37.98,https://www.lowes.com/pd/Worth-Imports-20-in-Bittersweet-Wreath-On-Natural-Twig-Base/5000293507,1.8-ft 20-in Berries Artificial Wreath
Northlight,35762375,74.98,https://www.lowes.com/pd/Northlight-0-5-ft-28-in-Harvest-Artificial-Wreath/5015205587,0.5-ft 28-in Harvest Artificial Wreath
Nearly Natural,W1236,74.98,https://www.lowes.com/pd/Nearly-Natural-6-ft-Harvest-Artificial-Garland/5013823317,6-ft Harvest Artificial Garland
Northlight,35762346,73.98,https://www.lowes.com/pd/Northlight-0-5-ft-26-in-Harvest-Artificial-Wreath/5015205617,0.5-ft 26-in Harvest Artificial Wreath
Northlight,34316662,49.98,https://www.lowes.com/pd/Northlight-1-83-ft-22-in-Harvest-Artificial-Wreath/5015205711,1.83-ft 22-in Harvest Artificial Wreath
Glitzhome,2006300035,63.98,https://www.lowes.com/pd/Glitzhome-2-ft-24-in-Sunflowers-Artificial-Wreath/5015354803,2-ft 24-in Sunflowers Artificial Wreath
Northlight,34141521,56.48,https://www.lowes.com/pd/Northlight-24-in-Orange-Autumn-Harvest-Thanksgiving-Foliage-Wreath-with-Pumpkin-Sunflower-Berries-and-Pine-Cones-Artificial-Twig-Backing/5013801563,"24 in. Orange Autumn Harvest Thanksgiving Foliage Wreath with Pumpkin, Sunflower, Berries, and Pine Cones - Artificial Twig Backing"
Nearly Natural,4472,47.05,https://www.lowes.com/pd/Nearly-Natural-20-in-Harvest-Leaf-and-Mini-Pumpkin-Artificial-Wreath/1003258838,2-ft 20-in Leaves Artificial Wreath
Nearly Natural,W1230,51.95,https://www.lowes.com/pd/Nearly-Natural-6-ft-Harvest-Artificial-Garland/5013823169,6-ft Harvest Artificial Garland
Northlight,34141523,28.48,https://www.lowes.com/pd/Northlight-13-in-Orange-Artificial-Fall-Harvest-Wreath-with-Pumpkins-Berries-and-Pinecones-Sturdy-Twig-Backing-Indoor-Thanksgiving-Decor/5013801495,"13 in. Orange Artificial Fall Harvest Wreath with Pumpkins, Berries, and Pinecones - Sturdy Twig Backing - Indoor Thanksgiving Decor"
Nearly Natural,W1189,66.09,https://www.lowes.com/pd/Nearly-Natural-2-2-ft-26-in-Pumpkin-Artificial-Wreath/5013823275,2.2-ft 26-in Pumpkin Artificial Wreath
Northlight,35644459,85.48,https://www.lowes.com/pd/Northlight-24-in-Purple-Indoor-Hanging-Artificial-Wreath/5014356705,"24-in Purple Artificial Fall Wreath with Wildflowers, Magnolia, Berries & Foliage - Thanksgiving Decor, Indoor Use, Purple Color/Finish"
Worth Imports,9933,44.99,https://www.lowes.com/pd/Worth-Imports-25-in-Heathers-And-Wild-Twigs-Fall-Wreath/5013805391,"25-in Artificial Fall Wreath on Natural Twig Base - Orange, Berries, Leaves - Indoor Use - Beautiful Autumn Colors"
Nearly Natural,W1187,73.91,https://www.lowes.com/pd/Nearly-Natural-2-5-ft-30-in-Harvest-Artificial-Wreath/5013823293,2.5-ft 30-in Harvest Artificial Wreath
Northlight,34808684,32.98,https://www.lowes.com/pd/Northlight-15-in-Purple-Indoor-Hanging-Artificial-Wreath/5014356729,0.5-ft 15-in Artificial Wreath
Nearly Natural,4908,68.61,https://www.lowes.com/pd/Nearly-Natural-30-in-Autumn-Indoor-Leaf-Artificial-Thanksgiving-Wreath/1000793028,2.5-ft 30-in Leaves Artificial Wreath
Nearly Natural,W1259,55.96,https://www.lowes.com/pd/Nearly-Natural-1-8-ft-22-in-Pumpkin-Artificial-Wreath/5013823339,1.8-ft 22-in Pumpkin Wreath
National Tree Company,RAHV-20101012W,92.14,https://www.lowes.com/pd/National-Tree-Company-2-5-ft-30-in-Harvest-Artificial-Wreath/5013935237,2.5-ft 30-in Harvest Artificial Wreath
Northlight,35762342,61.98,https://www.lowes.com/pd/Northlight-0-5-ft-24-in-Harvest-Artificial-Wreath/5015205619,0.5-ft 24-in Harvest Artificial Wreath
Worth Imports,12015,68.48,https://www.lowes.com/pd/Worth-Imports-1-83-ft-22-in-Pumpkin-Artificial-Wreath/5015354987,1.83-ft 22-in Pumpkin Artificial Wreath
Northlight,35762376,46.98,https://www.lowes.com/pd/Northlight-5-ft-Harvest-Artificial-Garland/5015205571,5-ft Harvest Artificial Garland
Puleo International,305-1291A-W30,135.0,https://www.lowes.com/pd/Puleo-International-2-5-ft-30-in-Artificial-Wreath/5012907183,2.5-ft 30-in Artificial Wreath
Nearly Natural,4646,31.95,https://www.lowes.com/pd/Nearly-Natural-35-in-Fall-Magnolia-Leaf-Artificial-Swag/1003258852,3-ft 3-in Leaves Artificial Swag
Northlight,34808685,44.98,https://www.lowes.com/pd/Northlight-18-in-Purple-Indoor-Hanging-Artificial-Wreath/5014356689,0.5-ft 18-in Artificial Wreath
Sullivans,MM6,26.98,https://www.lowes.com/pd/Sullivans-1-7-ft-20-5-in-Harvest-Artificial-Wreath/5015377371,1.4-ft Harvest Artificial Wreath
Nearly Natural,W1217,55.48,https://www.lowes.com/pd/Nearly-Natural-6-ft-Gourd-Artificial-Garland/5013548387,6-ft Gourd Artificial Garland
Haute Decor,DHSW3201,69.99,https://www.lowes.com/pd/Haute-Decor-32-Inch-Fall-Sunflower-Swag/5015533183,2.67-ft Sunflowers Artificial Swag
Haute Decor,DHWR2401,69.99,https://www.lowes.com/pd/Haute-Decor-24-Inch-Fall-Sunflower-Wreath/5015533207,2-ft 24-in Sunflowers Artificial Wreath
Nearly Natural,W1229,54.14,https://www.lowes.com/pd/Nearly-Natural-2-1-ft-25-in-Harvest-Artificial-Wreath/5013823217,2.1-ft 25-in Harvest Artificial Wreath
Northlight,34868452,50.98,https://www.lowes.com/pd/Northlight-5-ft-Harvest-Artificial-Garland/5015205631,5-ft Harvest Artificial Garland
National Tree Company,RAHV-ABN71202,48.88,https://www.lowes.com/pd/National-Tree-Company-2-ft-24-in-Harvest-Artificial-Wreath/5004300021,2-ft 24-in Harvest Artificial Wreath
NA,MFGWF5976X22X,49.99,https://www.lowes.com/pd/22-inch-Sunflower-Wreath/5015731087,22 inch Sunflower Wreath
Worth Imports,9126,28.98,https://www.lowes.com/pd/Worth-Imports-5-41-ft-Pumpkin-Artificial-Garland/5015354971,5.41-ft Pumpkin Artificial Garland
Northlight,32257212,95.01,https://www.lowes.com/pd/Northlight-0-5-ft-22-in-Harvest-Artificial-Wreath/5015205625,0.5-ft 22-in Harvest Artificial Wreath
Worth Imports,9902,62.0,https://www.lowes.com/pd/Worth-Imports-26-Fall-White-Gourd-Teardrop/5002009145,2.2-ft Pre-lit Gourd Artificial Swag
Worth Imports,5212,30.0,https://www.lowes.com/pd/Worth-Imports-28-in-Mixed-Fall-Sunflower-Teardrop/5000032069,2.3-ft Sunflowers Artificial Swag
