Brand,Description,ModelId,Price,ProductURL
Northlight,1.83-ft 22-in Harvest Artificial Wreath,34316662,49.98,https://www.lowes.com/pd/Northlight-1-83-ft-22-in-Harvest-Artificial-Wreath/5015205711
Glitzhome,2-ft 24-in Sunflowers Artificial Wreath,2006300035,63.98,https://www.lowes.com/pd/Glitzhome-2-ft-24-in-Sunflowers-Artificial-Wreath/5015354803
Worth Imports,1.75-ft 21-in Leaves Artificial Wreath,9991,60.48,https://www.lowes.com/pd/Worth-Imports-1-75-ft-21-in-Leaves-Artificial-Wreath/5015355055
National Tree Company,2-ft 22-in Harvest Artificial Wreath,RAHV-DA102W-1,44.88,https://www.lowes.com/pd/National-Tree-Company-2-ft-22-in-Harvest-Artificial-Wreath/5014645887
National Tree Company,1.83-ft 22-in Sunflowers Artificial Wreath,RAHV-W060630A,39.98,https://www.lowes.com/pd/National-Tree-Company/5004301637
Nearly Natural,1.8-ft 21-in Leaves Artificial Wreath,W1127,40.91,https://www.lowes.com/pd/Nearly-Natural-21-in-Autumn-Fern-Artificial-Wreath/1003258866
Worth Imports,3-ft Gourd Artificial Swag,7707,39.99,https://www.lowes.com/pd/Worth-Imports-36-in-Fall-Maple-Leaf-Swag-W-Pumpkin/5000137901
Northlight,0.92-ft 20-in Harvest Artificial Wreath,34315256,37.98,https://www.lowes.com/pd/Northlight-0-92-ft-20-in-Harvest-Artificial-Wreath/5015205703
Nearly Natural,2.8-ft Pumpkin Artificial Swag,W1241,36.61,https://www.lowes.com/pd/Nearly-Natural-2-8-ft-Pumpkin-Artificial-Swag/5013823411
Worth Imports,6-ft Leaves Artificial Garland,9139,34.48,https://www.lowes.com/pd/Worth-Imports-6-ft-Leaves-Artificial-Garland/5015355065
Worth Imports,1.25-ft 15-in Harvest Artificial Wreath,9900,31.98,https://www.lowes.com/pd/Worth-Imports-Fall-15-Pine-Cone-And-Wood-Curl-Wreath/5002009407
Sullivans,1.3-ft 15-in Harvest Artificial Wreath,BRE4,28.98,https://www.lowes.com/pd/Sullivans-1-3-ft-15-in-Harvest-Artificial-Wreath/5015377359
Sullivans,1-ft 12-in Leaves Artificial Wreath,MXFA4,26.98,https://www.lowes.com/pd/Sullivans-1-ft-12-in-Leaves-Artificial-Wreath/5015161813
Worth Imports,1.8-ft 20-in Leaves Artificial Wreath,7779,23.99,https://www.lowes.com/pd/Worth-Imports-20-in-Maple-Leaf-and-Berry-Wreath/5000205253
Fraser Hill Farm,9-ft Fruit Artificial Garland,FF108HVGL002-0MLT,40.16,https://www.lowes.com/pd/Fraser-Hill-Farm-Indoor-or-Outdoor-9-ft-Mixed-Green-Garland-with-Pink/5001425175
Worth Imports,5-ft Pumpkin Artificial Garland,7147,35,https://www.lowes.com/pd/Worth-Imports-60-in-Bittersweet-Garland/5000110691
Worth Imports,24-in Multi Color Cotton Wreath - Artificial Fall Wreath for Thanksgiving - Indoor Use - Great for Door or Wall Decoration,3284,49.12,https://www.lowes.com/pd/Worth-Imports-24-in-Cotton-W-L-V-S-Wreath/5000215063
Nearly Natural,2-ft 24-in Harvest Artificial Wreath,W1243,59.38,https://www.lowes.com/pd/Nearly-Natural-2-ft-24-in-Harvest-Artificial-Wreath/5013823247
Worth Imports,2.08-ft Pumpkin Artificial Swag,9987,45,https://www.lowes.com/pd/Worth-Imports-2-08-ft-Pumpkin-Artificial-Swag/5015355179
Northlight,1.83-ft 22-in Harvest Artificial Wreath,35182617,74.98,https://www.lowes.com/pd/Northlight-1-83-ft-22-in-Harvest-Artificial-Wreath/5015205563
NA,24 inch Wreath with Oak Leaves and Corn Husks,MFGWF5209X24X,38.99,https://www.lowes.com/pd/24-inch-Wreath-with-Oak-Leaves-and-Corn-Husks/5015731173
National Tree Company,2-ft 24-in Harvest Artificial Wreath,RAHV-0AW060751A,68.98,https://www.lowes.com/pd/National-Tree-Company-2-ft-24-in-Harvest-Artificial-Wreath/5014645859
Nearly Natural,2.5-ft 30-in Harvest Artificial Wreath,W1180,74.63,https://www.lowes.com/pd/Nearly-Natural-2-5-ft-30-in-Harvest-Artificial-Wreath/5013548339
Northlight,24 in. Green Autumn Harvest Artificial Thanksgiving Wreath with Pumpkins and Gourds - Indoor Use,33532675,80.98,https://www.lowes.com/pd/Northlight-24-in-Green-Autumn-Harvest-Artificial-Thanksgiving-Wreath-with-Pumpkins-and-Gourds-Indoor-Use/5013801335
Worth Imports,6-ft Pumpkin Artificial Garland,9140,79.48,https://www.lowes.com/pd/Worth-Imports-6-ft-Pumpkin-Artificial-Garland/5015355005
Gerson International,1.83-ft 22-in Berries Artificial Wreath,2539950EC,53.98,https://www.lowes.com/pd/Gerson-International-22-in-Diameter-Harvest-Wreath-with-Fall-Flowers-and-Berries/1003252376
Worth Imports,1.66-ft 20-in Leaves Artificial Wreath,9969,37.48,https://www.lowes.com/pd/Worth-Imports-1-66-ft-20-in-Leaves-Artificial-Wreath/5014595063
Northlight,5-ft Harvest Artificial Garland,35762343,46.98,https://www.lowes.com/pd/Northlight-5-ft-Harvest-Artificial-Garland/5015205637
Worth Imports,1.25-ft 15-in Berries Artificial Wreath,9980,27.98,https://www.lowes.com/pd/Worth-Imports-1-25-ft-15-in-Berries-Artificial-Wreath/5015354963
Sullivans,6-ft Harvest Artificial Garland,WGGD BLK,45,https://www.lowes.com/pd/Sullivans-6-ft-Harvest-Artificial-Garland/5015377445
Nearly Natural,24-in Pumpkin Artificial Wreath,4902,87.2,https://www.lowes.com/pd/Nearly-Natural-24-in-Pumpkin-Artificial-Wreath/5013823281
Worth Imports,6-ft Nuts Artificial Garland,5630,19.27,https://www.lowes.com/pd/Worth-Imports-80-in-Natural-Nuts-and-Cone-Garland/5000032075
Nearly Natural,6-ft 3-in Leaves Artificial Garland,4495,40.42,https://www.lowes.com/pd/Nearly-Natural-6-ft-Autumn-Magnolia-Leaf-with-Berries-Artificial-Garland/1003258846
Sullivans,1.2-ft Harvest Artificial Wreath,MIF4,26.98,https://www.lowes.com/pd/Sullivans-1-2-ft-14-5-in-Harvest-Artificial-Wreath/5015377393
Worth Imports,1.41-ft 17-in Pumpkin Artificial Wreath,9990,48.48,https://www.lowes.com/pd/Worth-Imports-1-41-ft-17-in-Pumpkin-Artificial-Wreath/5015355121
